damesano;coenti;coramo;premio_ganho;sinistro_ocorrido;desp_com;data_competencia
202402;5321;7750,0;270231,08;32453,47;93148,78;2024-02-01
202402;5321;7760,0;768101,23;120209,33;121925,69;2024-02-01
202402;5321;8700,0;2599,49;-3921,36999999999;12,93;2024-02-01
202402;5321;9290,0;4439916,82;161428,94;1099081,96;2024-02-01
202402;5321;9770,0;97321016,54;13692194,14;20541949,03;2024-02-01
202408;5886;11300,0;556156,37;-117168,98;108195,69;2024-08-01
202408;5886;11620,0;199670,56;-40974,31;41543,35;2024-08-01
202007;3069;7760,0;5304766,52;-1746273,08;1092216,24;2020-07-01
202007;3069;11300,0;348493,71;708081,93;52396,41;2020-07-01
202007;3069;11620,0;268912,26;-8344,05;61792,76;2020-07-01
202402;5321;9930,0;78080066,95;18420929,4;20055133,36;2024-02-01
202402;5321;10610,0;57595139,09;11434965,43;11519027,72;2024-02-01
202402;5321;10650,0;13096752,66;1009254,24;2616718,98;2024-02-01
202402;5355;1140,0;0,0;0,09;0,0;2024-02-01
